jobName	salaryFrom	salaryTo	experienceRequirement	degreeRequirement	numOfVacancy	genderRequirement	description	benefit	otherRequirement	companyId	fieldId	locationName	gender	personality1	personality2	personality3	liveLocation	fieldStudy	fieldLevel	strengthStatus	hobby1	hobby2	hobby3	rating
Nhân Viên Kinh Doanh - Vật Liệu Xây Dựng (Đi Làm Ngay)	15000000	20000000	1 năm	Trung cấp	2		- Tìm kiếm vàbán hàngcho các công trình, dự án xây dựng.- Kiểm tra đôn đốc số lượng hàng hóa ở công trình thi công- Đo đạc và tư vấn cho khách hàng về các phương án cửa phù hợp với kiến trúc và trang trí nội thất.- Liên hệ mật thiết với khách hàng cũ, tìm kiếm những khách hàng mới, tìm đối tác gia công, lắp đặt sắt thép- Theo dõi vàchăm sóc khách hàng.- Tham gia xây dựng chính sách bán hàng cho các dự án.- Tìm hiểu đối thủ cạnh tranh.- Biết cách làm việc độc lập và báo cáo tiến độ với các sếp- Đốc thúc công nợ, giúp phòng kế toán trong công tác thu nợ.	- Thu nhập: 10.000.000 - 20.000.000 triệu/tháng (thỏa thuận)+ Hoa hồng thương lượng- Bảo hiểm: BHXH, BHYT, BHTN theo quy định của nhà nước- Được thưởng lương tháng thứ 13, tham quan nghỉ mát du lịch theo kế hoạch của công ty- Tham gia thường xuyên các bữa tiệc, ăn uống của công ty	- Nam tuổi từ 25 - 35- Yêu cầu tiếng anh giỏi vì làm việc trực tiếp với các sếp Hàn quốc.- Tốt nghiệp TC, CĐ, Đại học với các chuyên ngành kỹ thuật, xây dựng hoặc kinh tế (đam mê công việc kinh doanh)- Có kinh nghiệm làm việc ở công ty vật liệu xây dựng nói chung. Ưu tiên ứng viên có kinh nghiệm từ 3 năm trở lên, có kinh nghiệm bán cửa sổ, lan can là một lợi thế.- Biết sử dụng phần mềm AUTO CAD- Nhanh nhẹn, hoạt bát, trung thực, làm việc có trách nhiệm	764	52	TP.HCM	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	7
Nhân Viên Kinh Doanh	10000000	12000000	Dưới 1 năm	Trung cấp	2		- Thực hiện các công việc liên quan tới việc bán sản phẩm của công ty.- Lên kế hoạch, triển khai phát triển công việcbán hàng, hàng tuần.- Đưa ra chiến lược phát triển kinh doanh dài hạn.	- Lương cơ bản 7-10 triệu + Hoa hồng- Các chính sách, quyền lợi theo quy định của nhà nước.- Thưởng 1 năm 1 lần.- Các chính sách khác tùy theo tình hình kinh doanh của công ty.	- Có kinh nghiệm trong việcbán hàng.- Chịu khó, nghiêm túc trong công việc.- Có khả năng làm việc độc lập.- Tinh thần trách nhiệm, khả năng tư duy trong công việc.- Kỹ năng giao tiếp & đàm phán tốt.	750	52	TP.HCM	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	5
Nhân Viên Kinh Doanh - Thu Nhập Lên Đến 40 Triệu (Lương Cứng + Hoa Hồng)	30000000	40000000	Chưa có kinh nghiệm	Không yêu cầu bằng cấp	5		BFT GROUP chuyên doanh trên lĩnh vựcBất động sản. Chúng tôi phấn đấu và kỳ vọng trở thành công ty dẫn đầu ngay hôm nay và cả trong tương lai để đáp ứng nhu cầu của hàng chục nghìn khách hàng, đối tác trên toàn lãnh thổ Việt Nam. Chúng tôi đang có nhu cầu tuyển dụng vị trí Nhân Viên Kinh Doanh:- Nhận, chăm sóc khách hàng được cung cấp và khai thác & tìm kiếm khách hàng mới- Thiết lập cuộc hẹn, kết hợp cùng “Chuyên gia” của công tytư vấncho khách hàng về: Sản phẩm, tài chính,..- Tổng hợp số liệu & đánh giá khách hàng, hoàn thiện Hồ sơ quản lý khách hàng mục tiêu.- Thương thảo, đàm phán, chốt Sale- Báo cáo kết quả kinh doanh, thị trường, đối thủ cạnh tranh.- Các công tác khác theo sự chỉ đạo trực tiếp của trưởng phòng kinh doanh	- THU NHẬP = Lương cơ bản + % Hoa hồng + % Thưởng năm- Hoa hồng : 50 - 70% Doanh thu tháng- Thưởng năm: 2% Doanh thu năm- Được làm việc trong môi trường năng động, nhiều thử thách, được đào tạo hội nhập, đào tạo về chuyên môn, đào tạo về cách thức khai thác - tư vấn - đàm phán khách hàng.- Là một trong các hạt giống để cơ cấu làm Trưởng phòng kinh doanh.- Chính sách BHXH, BHYT và các phúc lợi khác theo đúng quy định của Luật lao động- Du lịch, nghỉ mát hàng năm	- Tốt nghiệp: THPT trở lên.- Có kinh nghiệm là 1 lợi thế- Là người yêu thích kinh doanh, có trách nhiệm trong công việc- Có kỹ năng: Khai thác Internet, Telesale, Giao tiếp, Thuyết trình- Ứng viên phù hợp đi làm ngay	865	52	Hà Nội	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	10
Giáo Viên Mầm Non - Đi Làm Ngay	7000000	10000000	Dưới 1 năm	Trung cấp	5		- Chăm sóc, nuôi dưỡng và tổ chức các hoạt độnggiáo dụctrẻ :- Soạn giáo án và giảng dạy theo từng độ tuổi, hỗ trợ giáo viên nước ngoài.- Thực hiện các công việc của Giáo viên mầm non,quản lýlớp học và đảm bảo an toàn cho trẻ.- Thực hiện công tác giảng dạy, soạn bài, tổ chức các hoạt động chăm sóc, giáo dục theo kế hoạch đã đề ra.	- Tham gia BHXH đầy đủ khi hết thời gian thử việc.- Ăn trưa tại trường. Thưởng hằng năm.- Được nghỉ vào các ngày lễ tết theo quy định.- Lương thỏa thuận theo năng lực..	- Tốt nghiệp Ngành Sư Phạm Mầm Non.- Yêu thương và tôn trọng trẻ, Yêu nghề, gắn bó với nghề.- Nhiệt tình. Ưu tiên những ứng viên mong muốn giắn bó lâu dài với trường	774	53	TP.HCM	False	Stubborn	Careful	Faithful	Bắc Kạn	4	Khá yếu	Thấp	Play sports	Take photographs	Go for a walk	0
Chuyên Viên Marketing Nền Tảng (Senior Growth Marketing Executive)	15000000	20000000	2 năm	Cao đẳng	1		• Nền tảng – Xây dựng nền tảng kết nối môi giới BĐS, làm việc với các team khác để mang đến sản phẩm mới cho lĩnh vực môi giới• Tuyển dụng – Quản lý, xây dựng và chuyển đổi data môi giới thành các đối tác của công ty• Thúc đẩy kinh doanh – Cùng tham gia với team Kinh doanh để xây dựng các vật liệu, công cụ marketing tuyển dụng nhằm mục tiêu thúc đẩybán hàngvà đạt chỉ tiêu doanh số• Trải nghiệm người dùng – Hiểu và đo lường các điểm chạm người dùng thông qua các kênh tiếp xúc và tối ưu trải nghiệm này nhằm đạt được các mục tiêu tăng trưởng. Cùng với team Kinh doanh để vẽ nên chân dung đối tác cũng như hành trình trải nghiệm của đối tác• Marketing- Thực hiện các chiến dịch digital marketing online-to-offline.- Xây dựng và thực thi các chiến lược marketing dài hạn, trung hạn và ngắn hạn.- Quản lý và tối ưu ngân sách chiến dịch marketing- Kết nối đến các agency bên ngoài và team bên trong để tối ưu hóa nguồn lực và khả năng thực thi.- Báo cáo kết quả thực hiện chiến dịch marketing đến Giám đốc Khối.- Quản lý hoạt động truyền thông như: PR, Ads, Promotion Ads, Branding, Co-Marketing- Thực hiện khảo sát thị trường và các chương trình quảng cáo khác (signboards, product display, POSM…)	- Thu nhập từ 15.000.000 – 30.000.000 đồng- Lương cứng + chính sách hoa hồng chung của công ty + chế độ khen thưởng, phúc lợi khác theo Quy định của Công ty- Cơ hội gia nhập, xây dựng phát triển dự án, startup cùng ban lãnh đạo công ty- Được xét tăng lương, du lịch hàng năm và các chế độ đào tạo nếu có- Được tham gia bảo hiểm xã hội và các chế độ khác theo quy định của Luật lao động- Môi trường làm việc thân thiện, sáng tạo.	• Tốt nghiệp chuyên ngành: Marketing, Economics, Foreign Trade, Business Administration, IT• Ít nhất 2 năm kinh nghiệm với vị trí công việc tương tự.• Có kinh nghiệp làm việc trong lĩnh vựcbất động sảnlà lợi thế.• Có khả năng chịu áp lực cao.• Nhiệt tình, trách nhiệm với công việc.• Ham học hỏi, cầu tiến.	625	65	TP.HCM	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	1
IT Administration Biết Tếng Anh Làm Tại Quận 7	10000000	15000000	2 năm	Cao đẳng	10		- Tham gia giám sát khắc phục sự cố về phần cứng + mềm server, máy chủ- Setup hệ thống thông tin nội bộ, server,máy chủ OS, cảnh báo, giám sát, ... theo yêu cầu- Theo dõi đưa ra yêu cầu về phần cứng đảm bảo đáp ứng tải, backup ....- Quản trị hệ thống máy tính, hỗ trợ kỹ thuật và cài đặt máy tính cho các thành viên trong Công ty, đảm bảo máy tính hoạt động hiệu quả.- Hỗ trợ các phòng ban tạo account user, tạo group, delete account, add account, …- Xử lý sự cố về mạng, các sự cố máy tính về cả phần cứng và phần mềm.- Quản lý các thiết bị công nghệ của công ty: Máy in, máy chấm công, camera,- Lập kế hoạch bảo trì, nâng cấp hệ thống, thiết bị định kỳ, đề xuất phương án nâng cấp, bảo trì.- Hoàn thiện phần mềm quản lý hệ thống thông tin nội bộ (ERP), soạn thảo và hướng dẫn những vấn đề phát sinh về ERP	- Lương: 12 Triệu (có thể thỏa thuận thêm tùy vào kinh nghiệm của ứng viên)- Được làm việc trong môi trường chuyên nghiệp.- Được hưởng các chế độ BHXH, BHYT, BHTN, tham quan, nghỉ phép, thưởng năng suất, nghỉ các ngày lễ theo quy định của Luật lao động hiện hành và theo quy định của Công ty.- Trang bị máy tính, thiết bị hỗ trợ trong công việc.- Được hưởng lương tháng 13, xét tăng lương tùy vào năng lực làm việc- Cơ hội được học hỏi và đào tạo nghiệp vụ trong suốt quá trình làm việc.	- Biết network, sharepoint, chuyên về window- Trình độ ngoại ngữ: Tiếng Anh trình độ B1 hoặc tương đương trở lên- Có khả năng quản lý và cấu hình các thiết bị mạng: AP, Router, Switch	1004	6	TP.HCM	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	3
Chuyên Viên Marketing Nền Tảng (Senior Growth Marketing Executive)	15000000	20000000	2 năm	Cao đẳng	1		• Nền tảng – Xây dựng nền tảng kết nối môi giới BĐS, làm việc với các team khác để mang đến sản phẩm mới cho lĩnh vực môi giới• Tuyển dụng – Quản lý, xây dựng và chuyển đổi data môi giới thành các đối tác của công ty• Thúc đẩy kinh doanh – Cùng tham gia với team Kinh doanh để xây dựng các vật liệu, công cụ marketing tuyển dụng nhằm mục tiêu thúc đẩybán hàngvà đạt chỉ tiêu doanh số• Trải nghiệm người dùng – Hiểu và đo lường các điểm chạm người dùng thông qua các kênh tiếp xúc và tối ưu trải nghiệm này nhằm đạt được các mục tiêu tăng trưởng. Cùng với team Kinh doanh để vẽ nên chân dung đối tác cũng như hành trình trải nghiệm của đối tác• Marketing- Thực hiện các chiến dịch digital marketing online-to-offline.- Xây dựng và thực thi các chiến lược marketing dài hạn, trung hạn và ngắn hạn.- Quản lý và tối ưu ngân sách chiến dịch marketing- Kết nối đến các agency bên ngoài và team bên trong để tối ưu hóa nguồn lực và khả năng thực thi.- Báo cáo kết quả thực hiện chiến dịch marketing đến Giám đốc Khối.- Quản lý hoạt động truyền thông như: PR, Ads, Promotion Ads, Branding, Co-Marketing- Thực hiện khảo sát thị trường và các chương trình quảng cáo khác (signboards, product display, POSM…)	- Thu nhập từ 15.000.000 – 30.000.000 đồng- Lương cứng + chính sách hoa hồng chung của công ty + chế độ khen thưởng, phúc lợi khác theo Quy định của Công ty- Cơ hội gia nhập, xây dựng phát triển dự án, startup cùng ban lãnh đạo công ty- Được xét tăng lương, du lịch hàng năm và các chế độ đào tạo nếu có- Được tham gia bảo hiểm xã hội và các chế độ khác theo quy định của Luật lao động- Môi trường làm việc thân thiện, sáng tạo.	• Tốt nghiệp chuyên ngành: Marketing, Economics, Foreign Trade, Business Administration, IT• Ít nhất 2 năm kinh nghiệm với vị trí công việc tương tự.• Có kinh nghiệp làm việc trong lĩnh vựcbất động sảnlà lợi thế.• Có khả năng chịu áp lực cao.• Nhiệt tình, trách nhiệm với công việc.• Ham học hỏi, cầu tiến.	625	65	TP.HCM	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	6
Lập Trình Cocos Js - 2Dx Game Dev (Thu Nhập Tới 30Tr / Tháng)	25000000	30000000	1 năm	Đại học	5		- Tham gia vào các dự án game online 2D tại công ty- Nghiên cứu, lập trình game đa nền tảng với cocos- Làm việc tại Hà Nội 5 ngày/tuần.	- Mức lương: thỏa thuận theo năng lực từng ứng viên, trao đổi khi phỏng vấn (upto 1500$)- Được tham gia đầy đủ chế độ bảo hiểm, nghỉ mát, hoạt động teambuilding 4 lần/năm, thưởng lễ tết, sinh nhật …- Free các chi phí ăn trưa, tham gia các hoạt động thể thao cùng công ty.- Cơ hội lập nghiệp cùng với team khi trở thành Keymembers.- Được làm việc trong một môi trường chuyên nghiệp, năng động, với đội ngũ đông đảo và trẻ trung. Tham gia các dự án lớn trong và ngoài nước với cộng đồng user lớn (khoảng 20M người dùng).	- Có từ 1 năm kinh nghiệm lập trình game cocos js, 2d-x- Biết chơi game và yêu thích làm game- Nắm vững ngôn ngữ JavaScript- Tư duy logic tốt, chịu được áp lực công việc cao.- Có khả năng chủ động giải quyết vấn đề, làm việc độc lập, theo nhóm	808	6	Hà Nội	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	2
Nhân Viên Marketing	7000000	10000000	2 năm	Cao đẳng	3		- Xây dựng chiến lược marketing sản phẩm từng tháng.- Am hiểu thiết kế, hoàn thiện nội thất và nhà máy sản xuất gỗ- Sắp xếp dữ liệu và báo cáo hàng tháng về số liệu hiệu quả của tất cả các kênh truyền thông trực tuyến, sử dụng số liệu này để lên kế hoạch cho hoạt động marketing online trong tương lai.- Giám sát các chiến dịch quảng cáo và tối ưu chi phí- Viết bài SEO hiệu quả cho trang web và bài đăng blog việc làm, trang tin bên ngoài theo yêu cầu của quản lý.- Sử dụng hệ thống quản trị quan hệ khách hàng CRM để tối ưu hóa cơ hội marketing online. - Quản lý các chiến dịch marketing qua email của công ty.- Theo dõi tỷ suất lợi nhuận ROI các chiến dịch marketing online khác nhau.- Quản lý các tài khoản xã hội của công ty và nội dung trên các kênh truyền thông xã hội nhằm thu hút đối tượng khách hàng mục tiêu.- Cập nhật các thay đổi và cải tiến trên các kênh truyền thông xã hội,tư vấnkênh mới và cách áp dụng	- Đảm bảo đầy đủ quyền lợi cho NLĐ theo Luật lao động (BHXH, BHYT, BHTN,…)- Môi trường làm việc năng động, được tạo điều kiện phát huy hết năng lực của bản thân.- Có cơ hội thăng tiến.- Thưởng lễ tết theo quy định của công ty.	- Nam / nữ từ 25-30 tuổi- Tốt nghiệp cao đẳng / đại học có liên quan- Có kinh nghiệm làm MKT từ 2 -3 năm trở lên- Tổ chức sắp xếp và xây dựng được kế hoách thực hiện nhiệm vụ được phân công.- Ưu tiên ứng viên cso kinh nghiệm SEO WEb, EMAIL MKT, YOUTUBE MKT, Facebook MKT.. là một lợi thế- Chế độ nghỉ mát hàng năm. Hưởng lương tháng 13.	903	6	Hà Nội	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	5
Nhân Viên Marketing	7000000	10000000	2 năm	Cao đẳng	3		- Xây dựng chiến lược marketing sản phẩm từng tháng.- Am hiểu thiết kế, hoàn thiện nội thất và nhà máy sản xuất gỗ- Sắp xếp dữ liệu và báo cáo hàng tháng về số liệu hiệu quả của tất cả các kênh truyền thông trực tuyến, sử dụng số liệu này để lên kế hoạch cho hoạt động marketing online trong tương lai.- Giám sát các chiến dịch quảng cáo và tối ưu chi phí- Viết bài SEO hiệu quả cho trang web và bài đăng blog việc làm, trang tin bên ngoài theo yêu cầu của quản lý.- Sử dụng hệ thống quản trị quan hệ khách hàng CRM để tối ưu hóa cơ hội marketing online. - Quản lý các chiến dịch marketing qua email của công ty.- Theo dõi tỷ suất lợi nhuận ROI các chiến dịch marketing online khác nhau.- Quản lý các tài khoản xã hội của công ty và nội dung trên các kênh truyền thông xã hội nhằm thu hút đối tượng khách hàng mục tiêu.- Cập nhật các thay đổi và cải tiến trên các kênh truyền thông xã hội,tư vấnkênh mới và cách áp dụng	- Đảm bảo đầy đủ quyền lợi cho NLĐ theo Luật lao động (BHXH, BHYT, BHTN,…)- Môi trường làm việc năng động, được tạo điều kiện phát huy hết năng lực của bản thân.- Có cơ hội thăng tiến.- Thưởng lễ tết theo quy định của công ty.	- Nam / nữ từ 25-30 tuổi- Tốt nghiệp cao đẳng / đại học có liên quan- Có kinh nghiệm làm MKT từ 2 -3 năm trở lên- Tổ chức sắp xếp và xây dựng được kế hoách thực hiện nhiệm vụ được phân công.- Ưu tiên ứng viên cso kinh nghiệm SEO WEb, EMAIL MKT, YOUTUBE MKT, Facebook MKT.. là một lợi thế- Chế độ nghỉ mát hàng năm. Hưởng lương tháng 13.	903	6	Hà Nội	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	2
Giáo Viên Kiêm Trợ Giảng Tin Học Tại HCM	15000000	20000000	Chưa có kinh nghiệm	Đại học	2		• Tham gia trợ giảng hoặc giảng dạy, biên soạn tài liệu, giáo trình, đề thi…các lớp Tin Học Văn Phòng:CNTT Cơ Bản (CCA), CNTT Nâng Cao (CCB), IC3 & MOS. Tại các Chi Nhánh của Tin Học Đại Dương, các Trường THCS, THPT hoặc các Trường Cao Đẳng - Đại Học là đơn vị đối tác của Tin Học Đại Dương• Cài đặt các chương trình học cho Trung Tâm và học viên• Phối hợp với các bộ phận khác để sắp xếp, tổ chức, quản lý các lớp học• Đề xuất và thực hiện các giải pháp công nghệ mới• Hỗ trợ bộ phận IT khi có yêu cầu	• Mức lương chính thức từ 10 triệu – 25 triệu• Tham gia BHXH, BHYT• Chế độ thưởng cuối năm• Nghỉ mát hàng năm• Tăng lương định kỳ theo năng lực làm việc• Sẽ được đào tạo nếu chưa có kinh nghiệm	• Giới tính: Ưu tiên nam, ngoại hình dễ nhìn, tuổi không quá 30, giọng nói dễ nghe• Ưu tiên có chứng chỉ nghiệp vụ sư phạm• Đã hoặc sắp tốt nghiệp chuyên ngành CNTT hoặc Sư Phạm Tin Học, có năng khiếu và yêu thích việc đào tạo, giảng dạy, nghiên cứu CNTT , Đại Học, Thạc Sĩ• Ký cam kết đào tạo từ 2-3 tháng và sẽ được ký hợp đồng chính thức trước thời hạn tùy theo năng lực của từng Giáo Viên• Trung thực, năng động và có trách nhiệm cao trong công việc• Có tính chủ động nghiên cứu cập nhật kiến thức để nâng cao giá trị bản thân• Làm việc tại các CN của Tin Học Đại Dương hoặc các Trường THCS, THPT, Cao Đẳng, Đại Học là đơn vị đối tác của Tin Học Đại Dương	666	13	TP.HCM	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	5
Nhân Viên IT	7000000	10000000	1 năm	Cao đẳng	2		- Quản trị mạng nội bộ, sao lưu dữ liệu ,- Hỗ trợ người dùng, định kỳ báo cáo quản lý,- Phát triển ứng dụng IOT, năng động nhiệt tình học hỏi cầu tiến trong công việc.- Thực hiện các nghiệp vụ liên quan theo yêu cầu cấp trên- Chi tiết trao đổi qua phỏng vấn	- Được xét tăng lương hàng năm theo qui định của công ty.- Công ty có tổ chứcdu lịchhàng năm cho nhân viên.- Có các phần quà cho nhân viên trong các dịp lễ, tết.- Được nghỉ 02 ngày thứ bảy trong một tháng.- Tham giabảo hiểmxã hội đầy đủ theo qui định của luật.- Các chế độ phúc lợi khác theo qui định của luật Việt Nam.	- Tốt nghiệp chuyên ngành liên quan Công Nghệ Thông Tin- Đã tham gia các khóa MCSA- Kiến thức mảng lập trình Windows Form (C#) trên Visual Studio- Làm việc được cả 2 nơi: Quận 9 và Quận 7- Sức khỏe tốt	1015	24	TP.HCM	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	2
Giáo Viên Kiêm Trợ Giảng Tin Học Tại HCM	15000000	20000000	Chưa có kinh nghiệm	Đại học	2		• Tham gia trợ giảng hoặc giảng dạy, biên soạn tài liệu, giáo trình, đề thi…các lớp Tin Học Văn Phòng:CNTT Cơ Bản (CCA), CNTT Nâng Cao (CCB), IC3 & MOS. Tại các Chi Nhánh của Tin Học Đại Dương, các Trường THCS, THPT hoặc các Trường Cao Đẳng - Đại Học là đơn vị đối tác của Tin Học Đại Dương• Cài đặt các chương trình học cho Trung Tâm và học viên• Phối hợp với các bộ phận khác để sắp xếp, tổ chức, quản lý các lớp học• Đề xuất và thực hiện các giải pháp công nghệ mới• Hỗ trợ bộ phận IT khi có yêu cầu	• Mức lương chính thức từ 10 triệu – 25 triệu• Tham gia BHXH, BHYT• Chế độ thưởng cuối năm• Nghỉ mát hàng năm• Tăng lương định kỳ theo năng lực làm việc• Sẽ được đào tạo nếu chưa có kinh nghiệm	• Giới tính: Ưu tiên nam, ngoại hình dễ nhìn, tuổi không quá 30, giọng nói dễ nghe• Ưu tiên có chứng chỉ nghiệp vụ sư phạm• Đã hoặc sắp tốt nghiệp chuyên ngành CNTT hoặc Sư Phạm Tin Học, có năng khiếu và yêu thích việc đào tạo, giảng dạy, nghiên cứu CNTT , Đại Học, Thạc Sĩ• Ký cam kết đào tạo từ 2-3 tháng và sẽ được ký hợp đồng chính thức trước thời hạn tùy theo năng lực của từng Giáo Viên• Trung thực, năng động và có trách nhiệm cao trong công việc• Có tính chủ động nghiên cứu cập nhật kiến thức để nâng cao giá trị bản thân• Làm việc tại các CN của Tin Học Đại Dương hoặc các Trường THCS, THPT, Cao Đẳng, Đại Học là đơn vị đối tác của Tin Học Đại Dương	666	13	TP.HCM	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	1
Nhân Viên IT (Trảng Bàng- Tây Ninh)	7000000	10000000	1 năm	Trung cấp	2		- Quản trị hệ thống mạng của công ty;- Quản trị hệ thống phần mềm camera tại công ty;- Cài đặt, quản trị phần mềmkế toán, phần mềm chấm công, hệ thống email, server công ty;- Công việc trao đổi cụ thể thêm khi phỏng vấn	- Tham gia BHXH và các chế độ theo quy định của Luật Lao động hiện hành.- Được làm việc trong môi trường năng động, chuyên nghiệp và năng động có nhiều cơ hội thăng tiến trong công việc- Hưởng đầy đủ các chế độ BHXH, BHYT, phúc lợi xã hội đầy đủ* Nghỉ lễ, Tết, Được nhận quà vào các dịp lễ, Tết, Sinh nhật.* Được hưởng phép năm, tham gia Công đoàn.* Lương tháng 13.* Trợ cấp giới thiệucông nhânmới.* Trợ cấp nuôi con nhỏ.* Trợ cấp HSE.* Tăng lương...	Tốt nghiệp từ Trung Cấp trở lên thuộc chuyên ngành CNTT.- Sử dụng thành thạo các máy móc văn phòng- Sử dụng vi tính thành thạo (word, excel, internet, phần cứng…).- Có kinh nghiệm về quản trị mạng, quản trị hệ thống server.- Có kinh nghiệm về phần cứng máy tính.- Có thể giao tiếp cơ bản trong công việc bằng tiếng Anh.	773	40	Tây Ninh	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	5
Chuyên Viên Marketing Nền Tảng (Senior Growth Marketing Executive)	15000000	20000000	2 năm	Cao đẳng	1		• Nền tảng – Xây dựng nền tảng kết nối môi giới BĐS, làm việc với các team khác để mang đến sản phẩm mới cho lĩnh vực môi giới• Tuyển dụng – Quản lý, xây dựng và chuyển đổi data môi giới thành các đối tác của công ty• Thúc đẩy kinh doanh – Cùng tham gia với team Kinh doanh để xây dựng các vật liệu, công cụ marketing tuyển dụng nhằm mục tiêu thúc đẩybán hàngvà đạt chỉ tiêu doanh số• Trải nghiệm người dùng – Hiểu và đo lường các điểm chạm người dùng thông qua các kênh tiếp xúc và tối ưu trải nghiệm này nhằm đạt được các mục tiêu tăng trưởng. Cùng với team Kinh doanh để vẽ nên chân dung đối tác cũng như hành trình trải nghiệm của đối tác• Marketing- Thực hiện các chiến dịch digital marketing online-to-offline.- Xây dựng và thực thi các chiến lược marketing dài hạn, trung hạn và ngắn hạn.- Quản lý và tối ưu ngân sách chiến dịch marketing- Kết nối đến các agency bên ngoài và team bên trong để tối ưu hóa nguồn lực và khả năng thực thi.- Báo cáo kết quả thực hiện chiến dịch marketing đến Giám đốc Khối.- Quản lý hoạt động truyền thông như: PR, Ads, Promotion Ads, Branding, Co-Marketing- Thực hiện khảo sát thị trường và các chương trình quảng cáo khác (signboards, product display, POSM…)	- Thu nhập từ 15.000.000 – 30.000.000 đồng- Lương cứng + chính sách hoa hồng chung của công ty + chế độ khen thưởng, phúc lợi khác theo Quy định của Công ty- Cơ hội gia nhập, xây dựng phát triển dự án, startup cùng ban lãnh đạo công ty- Được xét tăng lương, du lịch hàng năm và các chế độ đào tạo nếu có- Được tham gia bảo hiểm xã hội và các chế độ khác theo quy định của Luật lao động- Môi trường làm việc thân thiện, sáng tạo.	• Tốt nghiệp chuyên ngành: Marketing, Economics, Foreign Trade, Business Administration, IT• Ít nhất 2 năm kinh nghiệm với vị trí công việc tương tự.• Có kinh nghiệp làm việc trong lĩnh vựcbất động sảnlà lợi thế.• Có khả năng chịu áp lực cao.• Nhiệt tình, trách nhiệm với công việc.• Ham học hỏi, cầu tiến.	625	58	TP.HCM	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	6
Nhân Viên Kỹ Thuật Máy Tính - Camera (Được Đào Tạo)	7000000	10000000	Không yêu cầu kinh nghiệm	Không yêu cầu	3		– Cài đặt máy tính, thi công lắp đặt và sửa chữa Camera.– Thi công hệ thống mạng nội bộ, mạng LAN, …– Thực hiện các công việc kỹ thuật khác theo sự phân công của Trưởng bộ phận	– Mức lương: 7.000.000 - 10.000.000đ– Chính sách khen thưởng kỷ luật rõ ràng– Các chế độ BHXH, BHYT, BHTN theo Luật định và theo quy định công ty.– Tháng lương thứ 13 theo kết quả kinh doanh năm.– Thưởng các ngày Lễ lớn: Tết, 30/4, 2/9….– Lương, thưởng, BHXH, phúc lợi theo BLLĐ và theo chính sách ưu đãinhân sựcủa Công ty.	– Biết cài đặt máy tính, đổ mực máy in, lắp đặt sửa chữa camera– Ưu tiên ứng viên có kinh nghiệm vị trí tương đương (không có sẽ đượcđào tạo)– Ưu tiên thợ có kinh nghiệm thi công Điện, Nước– Chăm chỉ, nhiệt tình, không ngại di chuyển.– Có thể chịu được áp lực công việc.	850	9	Bắc Ninh	True	Intelligent	Ambitious	Careful	Bắc Giang	6	Trung bình	Kém	Play sports	Jogging	Go shopping	3
